year,quarter,eps_diluted
2021,Q1,-2.2392271865976316
2021,Q2,-0.6335906237615003
2021,Q3,-1.2895802728086054
2021,Q4,-0.30497158095097604
2022,Q1,-3.2789425095256015
2022,Q2,-5.184871344179211
2022,Q3,-4.517685756193821
2022,Q4,-4.673688086199992
2023,Q1,-1.7197332308661968
2023,Q2,-0.20918891112510818
2023,Q3,0.5049326097617867
2023,Q4,0.88962209049204
2024,Q1,0.653351078927281
2024,Q2,0.9359498940925273
2024,Q3,2.04350038573759
2024,Q4,4.584269884931052
2025,Q1,5.735370168474562
2025,Q2,5.9011742274225005
2025,Q3,7.807820362212238
2025,Q4,4.734157102701448
